title,genres,clean_title
"Fox and the Hound, The (1981)",Animation Children Drama,"Fox and the Hound, The"
Freeway (1996),Comedy Crime Drama Thriller,Freeway
"Sound of Music, The (1965)",Musical Romance,"Sound of Music, The"
Die Hard (1988),Action Crime Thriller,Die Hard
"Lawnmower Man, The (1992)",Action Horror Sci-Fi Thriller,"Lawnmower Man, The"
"Secret Agent, The (1996)",Drama,"Secret Agent, The"
Secrets & Lies (1996),Drama,Secrets & Lies
That Thing You Do! (1996),Comedy Drama,That Thing You Do!
To Gillian on Her 37th Birthday (1996),Drama Romance,To Gillian on Her 37th Birthday
Beautiful Thing (1996),Drama Romance,Beautiful Thing
"Long Kiss Goodnight, The (1996)",Action Drama Thriller,"Long Kiss Goodnight, The"
"Ghost and the Darkness, The (1996)",Action Adventure,"Ghost and the Darkness, The"
Looking for Richard (1996),Documentary Drama,Looking for Richard
Trees Lounge (1996),Drama,Trees Lounge
Normal Life (1996),Crime Drama Romance,Normal Life
Get on the Bus (1996),Drama,Get on the Bus
Shadow Conspiracy (1997),Thriller,Shadow Conspiracy
Jude (1996),Drama,Jude
Everyone Says I Love You (1996),Comedy Musical Romance,Everyone Says I Love You
William Shakespeare's Romeo + Juliet (1996),Drama Romance,William Shakespeare's Romeo + Juliet
Swingers (1996),Comedy Drama,Swingers
Sleepers (1996),Thriller,Sleepers
Aladdin and the King of Thieves (1996),Animation Children Comedy Fantasy Musical Romance,Aladdin and the King of Thieves
Shall We Dance (1937),Comedy Musical Romance,Shall We Dance
Crossfire (1947),Crime Film-Noir,Crossfire
Willy Wonka & the Chocolate Factory (1971),Children Comedy Fantasy Musical,Willy Wonka & the Chocolate Factory
"Innocents, The (1961)",Drama Horror Thriller,"Innocents, The"
Sleeper (1973),Comedy Sci-Fi,Sleeper
Bananas (1971),Comedy War,Bananas
"Fish Called Wanda, A (1988)",Comedy Crime,"Fish Called Wanda, A"
Monty Python's Life of Brian (1979),Comedy,Monty Python's Life of Brian
Victor/Victoria (1982),Comedy Musical Romance,Victor/Victoria
"Candidate, The (1972)",Drama,"Candidate, The"
"Great Race, The (1965)",Comedy Musical,"Great Race, The"
Bonnie and Clyde (1967),Crime Drama,Bonnie and Clyde
"Old Man and the Sea, The (1958)",Adventure Drama,"Old Man and the Sea, The"
Dial M for Murder (1954),Crime Mystery Thriller,Dial M for Murder
Dirty Dancing (1987),Drama Musical Romance,Dirty Dancing
Reservoir Dogs (1992),Crime Mystery Thriller,Reservoir Dogs
Platoon (1986),Drama War,Platoon
Weekend at Bernie's (1989),Comedy,Weekend at Bernie's
Basic Instinct (1992),Crime Mystery Thriller,Basic Instinct
"Doors, The (1991)",Drama,"Doors, The"
"Crying Game, The (1992)",Drama Romance Thriller,"Crying Game, The"
Glengarry Glen Ross (1992),Drama,Glengarry Glen Ross
Sophie's Choice (1982),Drama,Sophie's Choice
E.T. the Extra-Terrestrial (1982),Children Drama Sci-Fi,E.T. the Extra-Terrestrial
"Christmas Carol, A (1938)",Children Drama Fantasy,"Christmas Carol, A"
Days of Thunder (1990),Action Drama Romance,Days of Thunder
Top Gun (1986),Action Romance,Top Gun
Rebel Without a Cause (1955),Drama,Rebel Without a Cause
"Streetcar Named Desire, A (1951)",Drama,"Streetcar Named Desire, A"
Children of the Corn IV: The Gathering (1996),Horror,Children of the Corn IV: The Gathering
Loser (1991),Comedy,Loser
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,Microcosmos (Microcosmos: Le peuple de l'herbe)
Palookaville (1996),Action Comedy Drama,Palookaville
"Funeral, The (1996)",Crime Drama,"Funeral, The"
"Single Girl, A (Fille seule, La) (1995)",Drama,"Single Girl, A (Fille seule, La)"
"Eighth Day, The (Huitième jour, Le) (1996)",Drama,"Eighth Day, The (Huitième jour, Le)"
Drunks (1995),Drama,Drunks
"People vs. Larry Flynt, The (1996)",Comedy Drama,"People vs. Larry Flynt, The"
Glory Daze (1995),Drama,Glory Daze
"Perfect Candidate, A (1996)",Documentary,"Perfect Candidate, A"
On Golden Pond (1981),Drama,On Golden Pond
"Return of the Pink Panther, The (1975)",Comedy Crime,"Return of the Pink Panther, The"
Drop Dead Fred (1991),Comedy Fantasy,Drop Dead Fred
"Abyss, The (1989)",Action Adventure Sci-Fi Thriller,"Abyss, The"
"Fog, The (1980)",Horror,"Fog, The"
Escape from New York (1981),Action Adventure Sci-Fi Thriller,Escape from New York
"Howling, The (1980)",Horror Mystery,"Howling, The"
Jean de Florette (1986),Drama Mystery,Jean de Florette
Manon of the Spring (Manon des sources) (1986),Drama,Manon of the Spring (Manon des sources)
Private Benjamin (1980),Comedy,Private Benjamin
Monty Python and the Holy Grail (1975),Adventure Comedy Fantasy,Monty Python and the Holy Grail
Hustler White (1996),Romance,Hustler White
Entertaining Angels: The Dorothy Day Story (1996),Drama,Entertaining Angels: The Dorothy Day Story
"Line King: The Al Hirschfeld Story, The (1996)",Documentary,"Line King: The Al Hirschfeld Story, The"
When We Were Kings (1996),Documentary,When We Were Kings
Wallace & Gromit: The Wrong Trousers (1993),Animation Children Comedy Crime,Wallace & Gromit: The Wrong Trousers
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama,"Return of Martin Guerre, The (Retour de Martin Guerre, Le)"
Lesson Faust (1994),Animation Comedy Drama Fantasy,Lesson Faust
"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",Drama,"Children Are Watching Us, The (Bambini ci guardano, I)"
"Tin Drum, The (Blechtrommel, Die) (1979)",Drama War,"Tin Drum, The (Blechtrommel, Die)"
"Ruling Class, The (1972)",Comedy Drama,"Ruling Class, The"
Mina Tannenbaum (1994),Drama,Mina Tannenbaum
Dear God (1996),Comedy,Dear God
Best of the Best 3: No Turning Back (1995),Action,Best of the Best 3: No Turning Back
Bob Roberts (1992),Comedy,Bob Roberts
Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama,Cinema Paradiso (Nuovo cinema Paradiso)
"Cook the Thief His Wife & Her Lover, The (1989)",Comedy Drama,"Cook the Thief His Wife & Her Lover, The"
Delicatessen (1991),Comedy Drama Romance,Delicatessen
"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",Drama Fantasy Romance,"Double Life of Veronique, The (Double Vie de Véronique, La)"
Enchanted April (1992),Drama Romance,Enchanted April
Paths of Glory (1957),Drama War,Paths of Glory
"Grifters, The (1990)",Crime Drama Film-Noir,"Grifters, The"
Hear My Song (1991),Comedy,Hear My Song
"English Patient, The (1996)",Drama Romance War,"English Patient, The"
Mediterraneo (1991),Comedy Drama,Mediterraneo
My Left Foot (1989),Drama,My Left Foot
"Sex, Lies, and Videotape (1989)",Drama,"Sex, Lies, and Videotape"
Passion Fish (1992),Drama,Passion Fish
Strictly Ballroom (1992),Comedy Romance,Strictly Ballroom
"Thin Blue Line, The (1988)",Documentary,"Thin Blue Line, The"
Tie Me Up! Tie Me Down! (¡Átame!) (1990),Crime Drama Romance,Tie Me Up! Tie Me Down! (¡Átame!)
Madonna: Truth or Dare (1991),Documentary Musical,Madonna: Truth or Dare
Paris Is Burning (1990),Documentary,Paris Is Burning
One Flew Over the Cuckoo's Nest (1975),Drama,One Flew Over the Cuckoo's Nest
Cheech and Chong's Up in Smoke (1978),Comedy,Cheech and Chong's Up in Smoke
Star Wars: Episode V - The Empire Strikes Back (1980),Action Adventure Sci-Fi,Star Wars: Episode V - The Empire Strikes Back
"Princess Bride, The (1987)",Action Adventure Comedy Fantasy Romance,"Princess Bride, The"
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action Adventure,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)
Brazil (1985),Fantasy Sci-Fi,Brazil
Aliens (1986),Action Adventure Horror Sci-Fi,Aliens
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action Adventure Western,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)"
Withnail & I (1987),Comedy,Withnail & I
12 Angry Men (1957),Drama,12 Angry Men
Lawrence of Arabia (1962),Adventure Drama War,Lawrence of Arabia
"Clockwork Orange, A (1971)",Crime Drama Sci-Fi Thriller,"Clockwork Orange, A"
To Kill a Mockingbird (1962),Drama,To Kill a Mockingbird
Apocalypse Now (1979),Action Drama War,Apocalypse Now
Once Upon a Time in the West (C'era una volta il West) (1968),Action Drama Western,Once Upon a Time in the West (C'era una volta il West)
Star Wars: Episode VI - Return of the Jedi (1983),Action Adventure Sci-Fi,Star Wars: Episode VI - Return of the Jedi
"Wings of Desire (Himmel über Berlin, Der) (1987)",Drama Fantasy Romance,"Wings of Desire (Himmel über Berlin, Der)"
"Third Man, The (1949)",Film-Noir Mystery Thriller,"Third Man, The"
Goodfellas (1990),Crime Drama,Goodfellas
Alien (1979),Horror Sci-Fi,Alien
Army of Darkness (1993),Action Adventure Comedy Fantasy Horror,Army of Darkness
"Big Blue, The (Grand bleu, Le) (1988)",Adventure Drama Romance,"Big Blue, The (Grand bleu, Le)"
Ran (1985),Drama War,Ran
"Killer, The (Die xue shuang xiong) (1989)",Action Crime Drama Thriller,"Killer, The (Die xue shuang xiong)"
Psycho (1960),Crime Horror,Psycho
"Blues Brothers, The (1980)",Action Comedy Musical,"Blues Brothers, The"
"Godfather: Part II, The (1974)",Crime Drama,"Godfather: Part II, The"
Full Metal Jacket (1987),Drama War,Full Metal Jacket
"Grand Day Out with Wallace and Gromit, A (1989)",Adventure Animation Children Comedy Sci-Fi,"Grand Day Out with Wallace and Gromit, A"
Henry V (1989),Action Drama Romance War,Henry V
Amadeus (1984),Drama,Amadeus
"Quiet Man, The (1952)",Drama Romance,"Quiet Man, The"
Once Upon a Time in America (1984),Crime Drama,Once Upon a Time in America
Raging Bull (1980),Drama,Raging Bull
Annie Hall (1977),Comedy Romance,Annie Hall
"Right Stuff, The (1983)",Drama,"Right Stuff, The"
Stalker (1979),Drama Mystery Sci-Fi,Stalker
"Boot, Das (Boat, The) (1981)",Action Drama War,"Boot, Das (Boat, The)"
"Sting, The (1973)",Comedy Crime,"Sting, The"
Harold and Maude (1971),Comedy Drama Romance,Harold and Maude
Trust (1990),Comedy Drama Romance,Trust
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,"Seventh Seal, The (Sjunde inseglet, Det)"
Local Hero (1983),Comedy,Local Hero
"Terminator, The (1984)",Action Sci-Fi Thriller,"Terminator, The"
Dead Alive (Braindead) (1992),Comedy Fantasy Horror,Dead Alive (Braindead)
Glory (1989),Drama War,Glory
Rosencrantz and Guildenstern Are Dead (1990),Comedy Drama,Rosencrantz and Guildenstern Are Dead
Manhattan (1979),Comedy Drama Romance,Manhattan
Miller's Crossing (1990),Crime Drama Film-Noir Thriller,Miller's Crossing
Dead Poets Society (1989),Drama,Dead Poets Society
"Graduate, The (1967)",Comedy Drama Romance,"Graduate, The"
Touch of Evil (1958),Crime Film-Noir Thriller,Touch of Evil
"Femme Nikita, La (Nikita) (1990)",Action Crime Romance Thriller,"Femme Nikita, La (Nikita)"
"Bridge on the River Kwai, The (1957)",Adventure Drama War,"Bridge on the River Kwai, The"
8 1/2 (8½) (1963),Drama Fantasy,8 1/2 (8½)
Chinatown (1974),Crime Film-Noir Mystery Thriller,Chinatown
"Day the Earth Stood Still, The (1951)",Drama Sci-Fi Thriller,"Day the Earth Stood Still, The"
"Treasure of the Sierra Madre, The (1948)",Action Adventure Drama Western,"Treasure of the Sierra Madre, The"
Bad Taste (1987),Comedy Horror Sci-Fi,Bad Taste
Duck Soup (1933),Comedy Musical War,Duck Soup
Better Off Dead... (1985),Comedy Romance,Better Off Dead...
"Shining, The (1980)",Horror,"Shining, The"
Stand by Me (1986),Adventure Drama,Stand by Me
M (1931),Crime Film-Noir Thriller,M
Evil Dead II (Dead by Dawn) (1987),Action Comedy Fantasy Horror,Evil Dead II (Dead by Dawn)
"Great Escape, The (1963)",Action Adventure Drama War,"Great Escape, The"
"Deer Hunter, The (1978)",Drama War,"Deer Hunter, The"
Diva (1981),Action Drama Mystery Romance Thriller,Diva
Groundhog Day (1993),Comedy Fantasy Romance,Groundhog Day
Unforgiven (1992),Drama Western,Unforgiven
"Manchurian Candidate, The (1962)",Crime Thriller War,"Manchurian Candidate, The"
Pump Up the Volume (1990),Comedy Drama,Pump Up the Volume
Arsenic and Old Lace (1944),Comedy Mystery Thriller,Arsenic and Old Lace
Back to the Future (1985),Adventure Comedy Sci-Fi,Back to the Future
Fried Green Tomatoes (1991),Comedy Crime Drama,Fried Green Tomatoes
Patton (1970),Drama War,Patton
Down by Law (1986),Comedy Drama Film-Noir,Down by Law
Akira (1988),Action Adventure Animation Sci-Fi,Akira
Highlander (1986),Action Adventure Fantasy,Highlander
Cool Hand Luke (1967),Drama,Cool Hand Luke
Cyrano de Bergerac (1990),Comedy Drama Romance,Cyrano de Bergerac
Young Frankenstein (1974),Comedy Fantasy,Young Frankenstein
Night on Earth (1991),Comedy Drama,Night on Earth
Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,Raise the Red Lantern (Da hong deng long gao gao gua)
"Great Dictator, The (1940)",Comedy Drama War,"Great Dictator, The"
Fantasia (1940),Animation Children Fantasy Musical,Fantasia
High Noon (1952),Drama Western,High Noon
"Big Sleep, The (1946)",Crime Film-Noir Mystery,"Big Sleep, The"
Heathers (1989),Comedy,Heathers
Somewhere in Time (1980),Drama Romance,Somewhere in Time
Ben-Hur (1959),Action Adventure Drama,Ben-Hur
This Is Spinal Tap (1984),Comedy,This Is Spinal Tap
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),Documentary,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance)
Some Kind of Wonderful (1987),Drama Romance,Some Kind of Wonderful
Indiana Jones and the Last Crusade (1989),Action Adventure,Indiana Jones and the Last Crusade
Being There (1979),Comedy Drama,Being There
Gandhi (1982),Drama,Gandhi
"Unbearable Lightness of Being, The (1988)",Drama,"Unbearable Lightness of Being, The"
"Room with a View, A (1986)",Drama Romance,"Room with a View, A"
Real Genius (1985),Comedy,Real Genius
Pink Floyd: The Wall (1982),Drama Musical,Pink Floyd: The Wall
"Killing Fields, The (1984)",Drama War,"Killing Fields, The"
My Life as a Dog (Mitt liv som hund) (1985),Comedy Drama,My Life as a Dog (Mitt liv som hund)
Forbidden Planet (1956),Drama Sci-Fi,Forbidden Planet
Field of Dreams (1989),Children Drama Fantasy,Field of Dreams
"Man Who Would Be King, The (1975)",Adventure Drama,"Man Who Would Be King, The"
Butch Cassidy and the Sundance Kid (1969),Action Western,Butch Cassidy and the Sundance Kid
"Paris, Texas (1984)",Drama Romance,"Paris, Texas"
Until the End of the World (Bis ans Ende der Welt) (1991),Adventure Drama Sci-Fi,Until the End of the World (Bis ans Ende der Welt)
When Harry Met Sally... (1989),Comedy Romance,When Harry Met Sally...
Hype! (1996),Documentary,Hype!
Female Perversions (1996),Drama,Female Perversions
Blue Juice (1995),Comedy Drama,Blue Juice
Alien³ (a.k.a. Alien 3) (1992),Action Horror Sci-Fi Thriller,Alien³ (a.k.a. Alien 3)
"American Werewolf in London, An (1981)",Comedy Horror Thriller,"American Werewolf in London, An"
Amityville 1992: It's About Time (1992),Horror,Amityville 1992: It's About Time
Amityville 3-D (1983),Horror,Amityville 3-D
Amityville: Dollhouse (1996),Horror,Amityville: Dollhouse
Amityville: A New Generation (1993),Horror,Amityville: A New Generation
Amityville II: The Possession (1982),Horror,Amityville II: The Possession
"Amityville Horror, The (1979)",Drama Horror Mystery Thriller,"Amityville Horror, The"
"Amityville Curse, The (1990)",Horror,"Amityville Curse, The"
Blood for Dracula (Andy Warhol's Dracula) (1974),Horror,Blood for Dracula (Andy Warhol's Dracula)
April Fool's Day (1986),Horror,April Fool's Day
Audrey Rose (1977),Horror,Audrey Rose
"Believers, The (1987)",Horror Thriller,"Believers, The"
"Birds, The (1963)",Horror Thriller,"Birds, The"
"Blob, The (1958)",Horror Sci-Fi,"Blob, The"
Blood Beach (1981),Horror Mystery,Blood Beach
Body Parts (1991),Horror Thriller,Body Parts
"Body Snatcher, The (1945)",Drama Horror Thriller,"Body Snatcher, The"
Dracula (Bram Stoker's Dracula) (1992),Fantasy Horror Romance Thriller,Dracula (Bram Stoker's Dracula)
"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",Drama Horror Sci-Fi,"Bride of Frankenstein, The (Bride of Frankenstein)"
Burnt Offerings (1976),Horror,Burnt Offerings
Candyman (1992),Horror Thriller,Candyman
Cape Fear (1991),Thriller,Cape Fear
Cape Fear (1962),Crime Drama Thriller,Cape Fear
Carrie (1976),Drama Fantasy Horror Thriller,Carrie
Cat People (1982),Drama Fantasy Horror,Cat People
"Nightmare on Elm Street, A (1984)",Horror Thriller,"Nightmare on Elm Street, A"
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,"Nosferatu (Nosferatu, eine Symphonie des Grauens)"
Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) (1986),Horror,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice)
"Omen, The (1976)",Horror Mystery Thriller,"Omen, The"
Blood and Wine (Blood & Wine) (1996),Crime Drama Thriller,Blood and Wine (Blood & Wine)
Albino Alligator (1996),Crime Thriller,Albino Alligator
"Mirror Has Two Faces, The (1996)",Comedy Drama Romance,"Mirror Has Two Faces, The"
Breaking the Waves (1996),Drama Mystery,Breaking the Waves
Nightwatch (1997),Horror Thriller,Nightwatch
Star Trek: First Contact (1996),Action Adventure Sci-Fi Thriller,Star Trek: First Contact
Shine (1996),Drama Romance,Shine
Sling Blade (1996),Drama,Sling Blade
Jingle All the Way (1996),Children Comedy,Jingle All the Way
Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,Paradise Lost: The Child Murders at Robin Hood Hills
"Preacher's Wife, The (1996)",Drama,"Preacher's Wife, The"
Ridicule (1996),Drama,Ridicule
"Crucible, The (1996)",Drama,"Crucible, The"
101 Dalmatians (1996),Adventure Children Comedy,101 Dalmatians
Die Hard 2 (1990),Action Adventure Thriller,Die Hard 2
Star Trek: The Motion Picture (1979),Adventure Sci-Fi,Star Trek: The Motion Picture
Star Trek VI: The Undiscovered Country (1991),Action Mystery Sci-Fi,Star Trek VI: The Undiscovered Country
Star Trek V: The Final Frontier (1989),Action Sci-Fi,Star Trek V: The Final Frontier
Star Trek II: The Wrath of Khan (1982),Action Adventure Sci-Fi Thriller,Star Trek II: The Wrath of Khan
Star Trek III: The Search for Spock (1984),Action Adventure Sci-Fi,Star Trek III: The Search for Spock
Star Trek IV: The Voyage Home (1986),Adventure Comedy Sci-Fi,Star Trek IV: The Voyage Home
Batman Returns (1992),Action Crime,Batman Returns
Young Guns (1988),Action Comedy Western,Young Guns
Young Guns II (1990),Action Western,Young Guns II
Grease (1978),Comedy Musical Romance,Grease
Grease 2 (1982),Comedy Musical Romance,Grease 2
Marked for Death (1990),Action Drama,Marked for Death
Under Siege (1992),Action Drama Thriller,Under Siege
Jaws (1975),Action Horror,Jaws
Jaws 2 (1978),Horror Thriller,Jaws 2
Jaws 3-D (1983),Action Horror,Jaws 3-D
My Fellow Americans (1996),Comedy,My Fellow Americans
Mars Attacks! (1996),Action Comedy Sci-Fi,Mars Attacks!
Citizen Ruth (1996),Comedy Drama,Citizen Ruth
Jerry Maguire (1996),Drama Romance,Jerry Maguire
Raising Arizona (1987),Comedy,Raising Arizona
Tin Men (1987),Comedy Drama,Tin Men
Sneakers (1992),Action Comedy Crime Drama Sci-Fi,Sneakers
Bastard Out of Carolina (1996),Drama,Bastard Out of Carolina
In Love and War (1996),Romance War,In Love and War
Marvin's Room (1996),Drama,Marvin's Room
Ghosts of Mississippi (1996),Drama,Ghosts of Mississippi
Beavis and Butt-Head Do America (1996),Adventure Animation Comedy Crime,Beavis and Butt-Head Do America
La Cérémonie (1995),Crime Drama Mystery Thriller,La Cérémonie
Scream (1996),Comedy Horror Mystery Thriller,Scream
"Last of the Mohicans, The (1992)",Action Romance War Western,"Last of the Mohicans, The"
Michael (1996),Comedy Drama Fantasy Romance,Michael
Hamlet (1996),Crime Drama Romance,Hamlet
Some Mother's Son (1996),Drama,Some Mother's Son
"Whole Wide World, The (1996)",Drama,"Whole Wide World, The"
Mother (1996),Comedy,Mother
"Thieves (Voleurs, Les) (1996)",Crime Drama Romance,"Thieves (Voleurs, Les)"
Evita (1996),Drama Musical,Evita
"Portrait of a Lady, The (1996)",Drama,"Portrait of a Lady, The"
Walkabout (1971),Adventure Drama,Walkabout
Murder at 1600 (1997),Crime Drama Mystery Thriller,Murder at 1600
Hearts and Minds (1996),Drama,Hearts and Minds
Fierce Creatures (1997),Comedy,Fierce Creatures
Zeus and Roxanne (1997),Children,Zeus and Roxanne
Turbulence (1997),Action Thriller,Turbulence
Angel Baby (1995),Drama,Angel Baby
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),Action Adventure Comedy Thriller,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo)
Underworld (1996),Comedy Thriller,Underworld
Beverly Hills Ninja (1997),Action Comedy,Beverly Hills Ninja
Metro (1997),Action Comedy Crime Drama Thriller,Metro
"Cement Garden, The (1993)",Drama,"Cement Garden, The"
Dante's Peak (1997),Action Thriller,Dante's Peak
Meet Wally Sparks (1997),Comedy,Meet Wally Sparks
Amos & Andrew (1993),Comedy,Amos & Andrew
Benny & Joon (1993),Comedy Romance,Benny & Joon
Prefontaine (1997),Drama,Prefontaine
McHale's Navy (1997),Comedy War,McHale's Navy
Kolya (Kolja) (1996),Comedy Drama,Kolya (Kolja)
Gridlock'd (1997),Crime,Gridlock'd
Waiting for Guffman (1996),Comedy,Waiting for Guffman
"Beautician and the Beast, The (1997)",Comedy Romance,"Beautician and the Beast, The"
SubUrbia (1997),Comedy Drama,SubUrbia
"Pest, The (1997)",Comedy,"Pest, The"
Fools Rush In (1997),Comedy Drama Romance,Fools Rush In
Touch (1997),Drama Fantasy Romance,Touch
Absolute Power (1997),Mystery Thriller,Absolute Power
That Darn Cat (1997),Children Comedy Mystery,That Darn Cat
Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997),Comedy,Vegas Vacation (National Lampoon's Las Vegas Vacation)
Lost Highway (1997),Crime Drama Fantasy Film-Noir Mystery Romance,Lost Highway
Rosewood (1997),Action Drama,Rosewood
Donnie Brasco (1997),Crime Drama,Donnie Brasco
Booty Call (1997),Comedy Romance,Booty Call
Best Men (1997),Action Comedy Crime Drama,Best Men
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children Comedy,Jungle2Jungle (a.k.a. Jungle 2 Jungle)
Kama Sutra: A Tale of Love (1996),Romance,Kama Sutra: A Tale of Love
Private Parts (1997),Comedy Drama,Private Parts
Love Jones (1997),Romance,Love Jones
"Saint, The (1997)",Action Romance Sci-Fi Thriller,"Saint, The"
Smilla's Sense of Snow (1997),Drama Thriller,Smilla's Sense of Snow
Crash (1996),Drama Thriller,Crash
"Daytrippers, The (1996)",Comedy Drama Mystery Romance,"Daytrippers, The"
Liar Liar (1997),Comedy,Liar Liar
Selena (1997),Drama Musical,Selena
"Devil's Own, The (1997)",Action Drama Thriller,"Devil's Own, The"
Cats Don't Dance (1997),Animation Children Musical,Cats Don't Dance
B*A*P*S (1997),Comedy,B*A*P*S
Love and Other Catastrophes (1996),Romance,Love and Other Catastrophes
Turbo: A Power Rangers Movie (1997),Action Adventure Children,Turbo: A Power Rangers Movie
Anna Karenina (1997),Drama Romance,Anna Karenina
Double Team (1997),Action,Double Team
Inventing the Abbotts (1997),Drama Romance,Inventing the Abbotts
Anaconda (1997),Action Adventure Thriller,Anaconda
Grosse Pointe Blank (1997),Comedy Crime Romance,Grosse Pointe Blank
Kissed (1996),Drama Romance,Kissed
8 Heads in a Duffel Bag (1997),Comedy,8 Heads in a Duffel Bag
Paradise Road (1997),Drama War,Paradise Road
Romy and Michele's High School Reunion (1997),Comedy,Romy and Michele's High School Reunion
Temptress Moon (Feng Yue) (1996),Romance,Temptress Moon (Feng Yue)
Volcano (1997),Action Drama Thriller,Volcano
Children of the Revolution (1996),Comedy,Children of the Revolution
Austin Powers: International Man of Mystery (1997),Action Adventure Comedy,Austin Powers: International Man of Mystery
Breakdown (1997),Action Thriller,Breakdown
Broken English (1996),Drama,Broken English
Fathers' Day (1997),Comedy,Fathers' Day
"Fifth Element, The (1997)",Action Adventure Comedy Sci-Fi,"Fifth Element, The"
Nowhere (1997),Comedy Drama,Nowhere
"Promise, The (La promesse) (1996)",Drama,"Promise, The (La promesse)"
Shall We Dance? (Shall We Dansu?) (1996),Comedy Drama Romance,Shall We Dance? (Shall We Dansu?)
Addicted to Love (1997),Comedy Romance,Addicted to Love
Brassed Off (1996),Comedy Drama Romance,Brassed Off
"Lost World: Jurassic Park, The (1997)",Action Adventure Sci-Fi Thriller,"Lost World: Jurassic Park, The"
Ponette (1996),Drama,Ponette
Schizopolis (1996),Comedy,Schizopolis
Shiloh (1997),Children Drama,Shiloh
Rough Magic (1995),Drama Romance,Rough Magic
Trial and Error (1997),Comedy Romance,Trial and Error
Buddy (1997),Adventure Children Drama,Buddy
Con Air (1997),Action Adventure Thriller,Con Air
"Pillow Book, The (1996)",Drama Romance,"Pillow Book, The"
Speed 2: Cruise Control (1997),Action Romance Thriller,Speed 2: Cruise Control
Batman & Robin (1997),Action Adventure Fantasy Thriller,Batman & Robin
For Roseanna (Roseanna's Grave) (1997),Comedy Drama Romance,For Roseanna (Roseanna's Grave)
Head Above Water (1996),Comedy Thriller,Head Above Water
Hercules (1997),Adventure Animation Children Comedy Musical,Hercules
My Best Friend's Wedding (1997),Comedy Romance,My Best Friend's Wedding
When the Cat's Away (Chacun cherche son chat) (1996),Comedy Romance,When the Cat's Away (Chacun cherche son chat)
"Contempt (Mépris, Le) (1963)",Drama,"Contempt (Mépris, Le)"
Face/Off (1997),Action Crime Drama Thriller,Face/Off
Fall (1997),Romance,Fall
Men in Black (a.k.a. MIB) (1997),Action Comedy Sci-Fi,Men in Black (a.k.a. MIB)
Out to Sea (1997),Comedy,Out to Sea
Wild America (1997),Adventure Children,Wild America
"Simple Wish, A (1997)",Children Fantasy,"Simple Wish, A"
Contact (1997),Drama Sci-Fi,Contact
Love Serenade (1996),Comedy,Love Serenade
G.I. Jane (1997),Action Drama,G.I. Jane
Conan the Barbarian (1982),Action Adventure Fantasy,Conan the Barbarian
George of the Jungle (1997),Children Comedy,George of the Jungle
Cop Land (1997),Action Crime Drama Thriller,Cop Land
Event Horizon (1997),Horror Sci-Fi Thriller,Event Horizon
Spawn (1997),Action Adventure Sci-Fi Thriller,Spawn
Air Bud (1997),Children Comedy,Air Bud
Picture Perfect (1997),Comedy Romance,Picture Perfect
In the Company of Men (1997),Comedy Drama,In the Company of Men
Career Girls (1997),Drama,Career Girls
Conspiracy Theory (1997),Drama Mystery Romance Thriller,Conspiracy Theory
Desperate Measures (1998),Crime Drama Thriller,Desperate Measures
Steel (1997),Action,Steel
She's So Lovely (1997),Drama Romance,She's So Lovely
Hoodlum (1997),Crime Drama Film-Noir,Hoodlum
Leave It to Beaver (1997),Comedy,Leave It to Beaver
Mimic (1997),Horror Sci-Fi Thriller,Mimic
Money Talks (1997),Action Comedy,Money Talks
Excess Baggage (1997),Adventure Romance,Excess Baggage
Kull the Conqueror (1997),Action Adventure,Kull the Conqueror
Air Force One (1997),Action Thriller,Air Force One
187 (One Eight Seven) (1997),Drama Thriller,187 (One Eight Seven)
"Hunt for Red October, The (1990)",Action Adventure Thriller,"Hunt for Red October, The"
My Own Private Idaho (1991),Drama Romance,My Own Private Idaho
"Kiss Me, Guido (1997)",Comedy,"Kiss Me, Guido"
